$N_1$	$N_2$	$N_3$	$l,\ cm$
159307	159043	158290	0
106703	106828	107508	0.48
80788	80180	80858	0.97
59595	59712	59244	1.47
45262	45133	44493	1.97
35534	35566	35686	2.47
30859	30868	30986	2.95
25795	25780	25823	3.43
21942	21784	21747	3.91
19446	19329	19652	4.41
16729	16664	16792	4.90
