$T, K$	$d_1^g, mm$	$t_1^g, s$	$d_2^g, mm$	$t_2^g, s$	$d_1^s, mm$	$t_1^s, s$	$d_2^s, mm$	$t_2^s, s$
298	2.06	23.62	2.08	23.51	0.78	31.19	0.6	43.03
303	2.08	20.94	2.14	19.28	0.66	31.72	0.92	17.97
308	2.14	15.65	2.12	15.03	0.82	16.34	0.84	21.22
313	2.1	11.46	2.06	11.1	0.9	10.81	0.9	13.19
318	2.06	8	2.08	7.6	0.86	9.22	0.94	6.78
323	2.04	6.19	2.02	5.88	0.84	6.56	0.84	6.57
328	2.12	4.94	2.08	4.72	0.84	5.16	0.76	6.12
