$I_k,\ \mu A$	$V_a,\ V$
0.5	0.01
7.5	2.97
15.5	5.37
22.5	8.02
29.0	10.84
36.0	14.35
43.0	18.50
39.5	22.41
37.0	23.27
33.0	24.43
38.0	27.14
42.0	28.46
49.0	30.97
55.0	32.51
60.0	34.28
64.0	36.01
66.0	38.56
62.0	41.91
66.0	48.44
70.0	51.32
75.0	53.76
79.5	56.38
83.5	58.77
87.5	62.98
91.5	68.12
