$I_k,\ \mu A$	$V_a,\ V$
0	0.01
0	1.14
7	4.74
14	6.73
19	8.34
25.5	10.69
32.0	13.59
36.0	15.49
41.0	17.77
43.5	20.28
41.0	21.67
36.5	23.44
31.0	24.50
25.0	25.15
29.5	27.95
36.0	29.93
42.0	31.88
48.0	33.70
53.0	35.42
56.5	38.06
52.0	43.02
50.5	46.94
55.0	51.57
60.0	54.97
65.5	58.64
70.0	63.27
74.0	71.55
